ID,age,job,marital,education,default,balance,housing,loan,contact,Cibil_Score,day,month,duration,campaign,pdays,previous,poutcome,subscribed
26110,56,admin.,married,unknown,no,1933,no,no,telephone,668,19,nov,44,2,-1,0,unknown,no
40576,31,unknown,married,secondary,no,3,no,no,cellular,684,20,jul,91,2,-1,0,unknown,no
15320,27,services,married,secondary,no,891,yes,no,cellular,788,18,jul,240,1,-1,0,unknown,no
43962,57,management,divorced,tertiary,no,3287,no,no,cellular,888,22,jun,867,1,84,3,success,yes
29842,31,technician,married,secondary,no,119,yes,no,cellular,703,4,feb,380,1,-1,0,unknown,no
29390,33,management,single,tertiary,no,0,yes,no,cellular,688,2,feb,116,3,-1,0,unknown,no
40444,56,retired,married,secondary,no,1044,no,no,telephone,786,3,jul,353,2,-1,0,unknown,yes
40194,50,technician,single,secondary,no,1811,no,no,cellular,447,8,jun,97,4,-1,0,unknown,no
29824,45,blue-collar,divorced,secondary,no,1951,yes,no,cellular,605,4,feb,692,1,-1,0,unknown,no
44676,35,admin.,married,secondary,no,1204,no,no,cellular,378,3,sep,789,2,-1,0,unknown,no
14699,36,services,divorced,secondary,yes,0,no,yes,cellular,761,15,jul,687,7,-1,0,unknown,yes
30180,35,blue-collar,married,secondary,no,-151,yes,no,cellular,792,5,feb,96,2,-1,0,unknown,no
28024,44,services,married,secondary,no,237,yes,no,cellular,829,28,jan,212,2,-1,0,unknown,no
480,39,management,single,secondary,no,1877,yes,no,unknown,585,6,may,185,1,-1,0,unknown,no
3260,43,blue-collar,married,secondary,no,960,yes,no,unknown,859,15,may,436,1,-1,0,unknown,no
9701,41,services,single,secondary,no,260,no,no,unknown,855,6,jun,75,1,-1,0,unknown,no
2843,53,technician,married,secondary,no,719,yes,no,unknown,811,14,may,230,1,-1,0,unknown,no
30489,64,management,married,tertiary,no,6251,no,no,telephone,659,5,feb,125,7,-1,0,unknown,no
35310,44,blue-collar,married,primary,no,4031,yes,no,cellular,427,7,may,983,4,-1,0,unknown,yes
38291,48,blue-collar,divorced,secondary,no,501,yes,no,cellular,699,15,may,12,5,-1,0,unknown,no
4554,60,management,married,tertiary,no,328,yes,no,unknown,658,20,may,72,5,-1,0,unknown,no
12156,29,admin.,single,tertiary,no,507,yes,no,unknown,840,20,jun,20,33,-1,0,unknown,no
16755,30,admin.,divorced,secondary,no,78,yes,no,cellular,569,24,jul,132,1,-1,0,unknown,no
